Brand,Model,Style Code,Colour,Age,Pictures,Price,Sizes of Shoes Available
G-Star RAW,Tect,D19261-8701-1816,['industrial grey'],Men’s,"['https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2221149/original.jpg', 'https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2221150/original.jpg']",R1299,"['6', '7', '8', '9', '10', '11', '12']"
G-Star RAW,Calow iii,D20035-B698-1816,['Industrial Grey'],Men’s,"['https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2221254/original.jpg', 'https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2221251/original.jpg', 'https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2221252/original.jpg', 'https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2221253/original.jpg']",R1624,"['6', '7', '8', '9', '10', '11', '12']"
G-Star RAW,Calow iii,D20031-9242-2199,['Shamrock'], ,"['https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2221254/original.jpg', 'https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2221251/original.jpg', 'https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2221252/original.jpg', 'https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2221253/original.jpg']",R1624,"['6', '7', '8', '9', '10', '11', '12']"
G-Star RAW,Calow,D20036-B703-2199,['Shamrock'],Men’s,"['https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2221202/original.jpg', 'https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2221203/original.jpg', 'https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2221206/original.jpg', 'https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2221204/original.jpg', 'https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2221205/original.jpg']",R1429,"['6', '7', '8', '9', '10', '11', '12']"
Reebok,Cl lthr,FV1959,"['pugry3', 'vecnav', 'maroon']",Men’s,"['https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2197898/original.jpg', 'https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2197897/original.jpg', 'https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2197892/original.jpg', 'https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2197893/original.jpg', 'https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2197899/original.jpg', 'https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2197894/original.jpg', 'https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2197896/original.jpg', 'https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2197895/original.jpg']",R1499,"['5', '6', '7', '9', '11', '12', '8', '10']"
Vans,SK8-Hi x Spongebob,VN0A32QGZAW1,['Imaginaaation'],"('Men’s', ""Ladie's"")","['https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2240324/original.jpg', 'https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2240322/original.jpg', 'https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2240320/original.jpg', 'https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2240321/original.jpg', 'https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2240323/original.jpg']",R1699,"['3', '4', '5', '6', '7', '8', '9', '10', '11']"
Vans,Era x Spongebob,VN0A54F19ES1,['Best Friends'],"('Men’s', ""Ladie's"")","['https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2240425/original.jpg', 'https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2240428/original.jpg', 'https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2240427/original.jpg', 'https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2240424/original.jpg', 'https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2240426/original.jpg']",R1299,"['4', '6', '7', '8', '10', '11', '3', '5', '9']"
Vans,Classic Slip-On x Spongebob,VN0A33TBYZ11,['Alohabob'],"('Men’s', ""Ladie's"")","['https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2240356/original.jpg', 'https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2240352/original.jpg', 'https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2240350/original.jpg', 'https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2240351/original.jpg']",R1199,"['4', '5', '6', '7', '8', '9', '10', '11', '3']"
G-Star RAW,Tect,D19261-8701-2199,['shamrock'],Men’s,"['https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2221160/original.jpg', 'https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2221162/original.jpg', 'https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2221161/original.jpg']",R1299,"['6', '7', '8', '9', '10', '11', '12']"
Reebok,Club c revenge mu,EF3220,"['white', 'black', 'legacr']",Men’s,"['https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2197624/original.jpg', 'https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2197623/original.jpg', 'https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2197615/original.jpg', 'https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2197619/original.jpg', 'https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2197625/original.jpg', 'https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2197621/original.jpg', 'https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2197620/original.jpg', 'https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2197622/original.jpg']",R1199,"['6', '7', '8', '9', '10', '11', '12']"
G-Star RAW,Tect,D19261-8701-4677,['matt asphalt'],Men’s,"['https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2221173/original.jpg', 'https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2221174/original.jpg']",R1299,"['6', '7', '8', '9', '10', '11', '12']"
G-Star RAW,Tect pro q2,D20030-8941-1816,['Industrial Grey'],Men’s,"['https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2221286/original.jpg', 'https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2221287/original.jpg', 'https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2221284/original.jpg', 'https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2221285/original.jpg']",R1884,"['6', '7', '8', '9', '10', '11', '12']"
Reebok,Instapump fury og,D20030-8941-1816,"['ftwr white', 'chalk', 'glass blue']",Men’s,"['https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2262578/original.jpg', 'https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2262577/original.jpg', 'https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2262572/original.jpg', 'https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2262573/original.jpg', 'https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2262574/original.jpg', 'https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2262579/original.jpg', 'https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2262575/original.jpg', 'https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2262576/original.jpg']",R2999,"['6', '7', '8', '9', '10', '11']"
PUMA,X-ray 2 square mid,37302005,['Forest night-forest night-puma black'],Men’s,"['https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2262072/original.jpg', 'https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2262074/original.jpg', 'https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2262075/original.jpg', 'https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2262073/original.jpg', 'https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2262076/original.jpg']",R1599,"['6', '7', '8', '9', '10', '11', '12', '13']"
Nike,Air Max 90,db0625-100,"['white', 'volt-black-pure platinum']",MENS,"['https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2259041/original.jpg', 'https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2259037/original.jpg', 'https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2259039/original.jpg', 'https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2259040/original.jpg', 'https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2259038/original.jpg']",R2599,"['6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11', '11.5', '12']"
adidas Originals,Stan Smith,fx5499,"['core black', 'core black', 'ftwr white']",Men’s,"['https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2260558/original.jpg', 'https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2260557/original.jpg', 'https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2260561/original.jpg', 'https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2260556/original.jpg', 'https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2260559/original.jpg']",R1499,"['6', '7', '8', '9', '10', '11', '12', '13']"
Nike,"Blazer mid '77 ""First Use""",dc3433-800,"['orange', 'white-deep royal blue']",MENS,"['https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2259091/original.jpg', 'https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2259087/original.jpg', 'https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2259089/original.jpg', 'https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2259090/original.jpg', 'https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2259088/original.jpg']",R2099,"['6', '7', '8', '9', '10', '11', '12']"
Nike,Retro GTS,da1446-001,"['Black', 'White']",MENS,"['https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2259018/original.jpg', 'https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2259014/original.jpg', 'https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2259016/original.jpg', 'https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2259017/original.jpg', 'https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2259015/original.jpg']",R1199,"['6', '7', '8', '9', '10', '11', '12', '13']"
Nike,Retro GTS,da1446-600,"['gym red', 'white-black-matte aluminum']",MENS,"['https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2259026/original.jpg', 'https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2259022/original.jpg', 'https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2259024/original.jpg', 'https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2259025/original.jpg', 'https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2259023/original.jpg']",R1199,"['6', '7', '8', '9', '10', '11', '12', '13']"
Nike,Nike air max 2090,DH7708-101,"['White', 'black-pure platinum-volt']",MENS,"['https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2258549/original.jpg', 'https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2258545/original.jpg', 'https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2258546/original.jpg', 'https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2258547/original.jpg', 'https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2258544/original.jpg']",R2799,"['6', '7', '8', '9', '10', '11', '12', '13']"
Nike,"Air Force 1 '07 LV8 ""First Use""",db3597-600,"['university red', 'white-deep royal blue']",MENS,"['https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2259074/original.jpg', 'https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2259070/original.jpg', 'https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2259072/original.jpg', 'https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2259073/original.jpg', 'https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2259071/original.jpg']",R2099,"['7', '8', '9', '10', '11', '12', '6', '13']"
Nike,Air Force 1 '07,CW2288-001,['Black'],MENS,"['https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2258984/original.jpg', 'https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2258980/original.jpg', 'https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2258982/original.jpg', 'https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2258983/original.jpg', 'https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2258981/original.jpg']",R1899,"['6', '7', '8', '9', '10', '11', '12', '13']"
PUMA,Wild rider rollin',38151703,['Puma white-orange glow'],Men’s,"['https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2260324/original.jpg', 'https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2260327/original.jpg', 'https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2260328/original.jpg', 'https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2260326/original.jpg', 'https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2260329/original.jpg']",R1899,"['6', '7', '8', '9', '10', '11']"
PUMA,X-ray 2 square mid wtr,37302004,['Peacoat-peacoat-future blue-high risk red-puma silver'],Men’s,"['https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2260142/original.jpg', 'https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2260144/original.jpg', 'https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2260145/original.jpg', 'https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2260143/original.jpg', 'https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2260147/original.jpg']",R1599,"['6', '7', '8', '9', '10', '11', '12']"
Nike,Retro GTS,DA1446-100,"['White', 'midnight navy-matte aluminum']",MENS,"['https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2258589/original.jpg', 'https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2258585/original.jpg', 'https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2258588/original.jpg', 'https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2258583/original.jpg', 'https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2258587/original.jpg', 'https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2258590/original.jpg']",R1199,"['6', '7', '8', '9', '10', '11', '12', '13']"
Reebok,Club C 85,fw7787,"['Black', 'cdgry6', 'fiegol']",Men’s,"['https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2260105/original.jpg', 'https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2260107/original.jpg', 'https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2260108/original.jpg', 'https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2260106/original.jpg', 'https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2260109/original.jpg']",R1099,"['6', '7', '8', '9', '10', '11']"
Nike,"Air Force 1 '07 LV8 ""First Use""",db3597-100,"['light stone', 'black-sail-university red']",MENS,"['https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2259065/original.jpg', 'https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2259061/original.jpg', 'https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2259063/original.jpg', 'https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2259064/original.jpg', 'https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2259062/original.jpg']",R2099,"['6', '7', '8', '9', '10', '11', '12', '13']"
Nike,DBreak-type,CJ1156-004,"['light bone', 'orange-hemp-dk driftwood']",MENS,"['https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2258831/original.jpg', 'https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2258832/original.jpg', 'https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2258830/original.jpg']",R1699,"['6', '7', '8', '9', '10', '11', '12', '13']"
Nike,Air Force 1 mid '07,CW2289-111,['White'],MENS,"['https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2258989/original.jpg', 'https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2258987/original.jpg', 'https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2258990/original.jpg', 'https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2258988/original.jpg', 'https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2258991/original.jpg']",R2099,"['6', '7', '8', '9', '10', '11', '12', '13']"
Nike,"Blazer mid '77 ""First Use""",dc3433-400,"['deep royal blue', 'white-orange']",MENS,"['https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2259082/original.jpg', 'https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2259078/original.jpg', 'https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2259080/original.jpg', 'https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2259081/original.jpg', 'https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2259079/original.jpg']",R2099,"['6', '7', '8', '9', '10', '11', '12']"
Nike,Court Vision low,CD5463-103,"['white', 'game royal']",MENS,"['https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2258823/original.jpg', 'https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2258819/original.jpg', 'https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2258821/original.jpg', 'https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2258822/original.jpg', 'https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2258820/original.jpg']",R1199,"['6', '7', '8', '9', '10', '11', '12', '13']"
Reebok,Court Vision low,fv9915,"['Black', 'white', 'colsha']", ,"['https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2258823/original.jpg', 'https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2258819/original.jpg', 'https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2258821/original.jpg', 'https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2258822/original.jpg', 'https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2258820/original.jpg']",R1199,"['6', '7', '8', '9', '10', '11', '12', '13']"
Adidas Originals,Court Tourino,H02177,"['Ftwr white', 'ftwr white', 'core black']",Men’s,"['https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2246002/original.jpg', 'https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2246001/original.jpg', 'https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2245997/original.jpg', 'https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2246003/original.jpg', 'https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2246004/original.jpg', 'https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2245998/original.jpg', 'https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2245999/original.jpg', 'https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2246000/original.jpg']",R1699,"['6', '7', '8', '9', '10', '11', '12', '13', '14']"
Adidas Originals,Court Tourino,H02176,"['Core black', 'ftwr white', 'ftwr white']",Men’s,"['https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2251300/original.jpg', 'https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2251299/original.jpg', 'https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2251296/original.jpg', 'https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2251301/original.jpg', 'https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2251302/original.jpg', 'https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2251297/original.jpg', 'https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2251298/original.jpg']",R1699,"['6', '7', '8', '9', '10', '11', '12', '13']"
Adidas Originals,ZX 1K Boost,H00416,"['Crew navy', 'semi solar gold', 'crew navy']",Men’s,"['https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2251091/original.jpg', 'https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2251090/original.jpg', 'https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2251087/original.jpg', 'https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2251092/original.jpg', 'https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2251088/original.jpg', 'https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2251093/original.jpg', 'https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2251089/original.jpg']",R1699,"['6', '7', '8', '9', '10', '11', '12']"
Adidas Originals,NMD_R1,GZ7921,"['Ftwr white', 'sonic aqua', 'ftwr white']",Men’s,"['https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2251288/original.jpg', 'https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2251284/original.jpg', 'https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2251289/original.jpg', 'https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2251290/original.jpg', 'https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2251285/original.jpg', 'https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2251286/original.jpg', 'https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2251287/original.jpg']",R2799,"['6', '7', '8', '9', '10', '11', '12', '13']"
Adidas Originals,Run 60s 2.0,FZ0961,"['Core black', 'ftwr white', 'core black']",Men’s,"['https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2250982/original.jpg', 'https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2250981/original.jpg', 'https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2250977/original.jpg', 'https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2250983/original.jpg', 'https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2250984/original.jpg', 'https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2250978/original.jpg', 'https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2250979/original.jpg', 'https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2250980/original.jpg']",R1199,"['6', '7', '8', '9', '10', '11', '12', '13']"
adidas Originals,Courtphase,Q47165,"['Ftwr white', 'ftwr white', 'cloud white']",Men’s,"['https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2251336/original.jpg', 'https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2251335/original.jpg', 'https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2251331/original.jpg', 'https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2251337/original.jpg', 'https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2251338/original.jpg', 'https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2251332/original.jpg', 'https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2251333/original.jpg', 'https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2251334/original.jpg']",R1399,"['6', '7', '8', '9', '10', '11', '12', '13']"
Adidas Originals,Retrovulc,H02209,"['Ftwr white', 'core black', 'dove grey']",Men’s,"['https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2251316/original.jpg', 'https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2251315/original.jpg', 'https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2251311/original.jpg', 'https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2251317/original.jpg', 'https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2251318/original.jpg', 'https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2251312/original.jpg', 'https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2251313/original.jpg', 'https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2251314/original.jpg']",R1199,"['6', '7', '8', '9', '10', '11', '12', '13']"
adidas Originals,Samba recon lt,B75903,"['crywht', 'cblack', 'gum']",Men’s,"['https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2233625/original.jpg', 'https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2233626/original.jpg', 'https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2233627/original.jpg', 'https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2233620/original.jpg', 'https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2233623/original.jpg', 'https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2233628/original.jpg']",R2499,"['6', '7', '8', '9', '10', '11', '12']"
Adidas Originals,"ZX 10,000 C",GZ7724,"['Grey Five ', ' Sonic Fuchsia ', ' Semi Solar Slime']",Men’s,"['https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2251275/original.jpg', 'https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2251274/original.jpg', 'https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2251270/original.jpg', 'https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2251276/original.jpg', 'https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2251277/original.jpg', 'https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2251271/original.jpg', 'https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2251272/original.jpg', 'https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2251273/original.jpg']",R2499,"['6', '7', '8', '9', '10', '11', '12']"
